id,created_at,product_name,product_price,product_sku,product_link,itemid,ebay_price,eBay_qty,site,sku,title,matched column,market_price,calculation_price,final_price,Final_price,date,product_quantity
5228,2025-10-15 04:01:31.792749+00,4CYTE CANINE EPITALIS FORTE GEL 100ML,$45.96 (Ex GST),A4CEF100,https://pronto.eastdist.com/products/A4CEF100,405534927610,110.28,5,,A4CEF100,,A4CEF100,42.85,100.77,100.77,110.28,2025-10-23,IN STOCK
5229,2025-10-15 04:01:31.792749+00,4CYTE CANINE EPIITALIS FORTE GEL 200ML,$83.45 (Ex GST),A4CEF200,https://pronto.eastdist.com/products/A4CEF200,405534927610,161.87,5,,A4CEF200,,A4CEF200,77.35,167.42,167.42,167.42,2025-10-23,IN STOCK
5230,2025-10-15 04:01:31.792749+00,4CYTE CANINE EPIITALIS FORTE GEL 50ML,$27.19 (Ex GST),A4CEF50,https://pronto.eastdist.com/products/A4CEF50,405534927610,72.44,2,,A4CEF50,,A4CEF50,26.65,67.39,67.39,72.44,2025-10-23,LOW STOCK
5231,2025-10-15 04:01:31.792749+00,4CYTE FELINE EPIITALIS FORTE GEL 50ML,$27.69 (Ex GST),A4CFG50,https://pronto.eastdist.com/products/A4CFG50,405534940830,65.45,5,,A4CFG50,,A4CFG50,29.84,68.28,68.28,68.28,2025-10-23,IN STOCK
5232,2025-10-15 04:01:31.792749+00,4CYTE CANINE GRANULES 100G,$54.01 (Ex GST),A4CG100,https://pronto.eastdist.com/products/A4CG100,405534958648,110.94,5,,A4CG100,,A4CG100,59.99,115.08,115.08,115.08,2025-10-23,IN STOCK
5233,2025-10-15 04:01:31.792749+00,4CYTE CANINE GRANULES 50G,$29.91 (Ex GST),A4CG50,https://pronto.eastdist.com/products/A4CG50,405534958648,69.25,5,,A4CG50,,A4CG50,30.55,72.23,72.23,72.23,2025-10-23,IN STOCK
5234,2025-10-15 04:01:31.792749+00,4CYTE EQUINE EPIITALIS FORTE GEL 1LT,$421.21 (Ex GST),A4EE1,https://pronto.eastdist.com/products/A4EE1,405534957494,745.36,5,,A4EE1,,A4EE1,430.24,767.96,767.96,767.96,2025-10-23,IN STOCK
5235,2025-10-15 04:01:31.792749+00,4CYTE EQUINE EPIITALIS FORTE GEL 250ML,$124.86 (Ex GST),A4EEF250,https://pronto.eastdist.com/products/A4EEF250,405534957494,233.48,5,,A4EEF250,,A4EEF250,128.59,241.05,241.05,241.05,2025-10-23,IN STOCK
5236,2025-10-15 04:01:31.792749+00,4CYTE EQUINE GRANULES 3.5KG,$1108.91 (Ex GST),A4EG3.5,https://pronto.eastdist.com/products/A4EG3.5,405534952537,1933.8,2,,A4EG3.5,,A4EG3.5,1024.79,1990.69,1990.69,1990.69,2025-10-23,LOW STOCK
5237,2025-10-15 04:01:31.792749+00,4CYTE EQUINE GRANULES 700G,$245.33 (Ex GST),A4EG700,https://pronto.eastdist.com/products/A4EG700,405534952537,441.82,5,,A4EG700,,A4EG700,261.95,455.25,455.25,455.25,2025-10-23,IN STOCK
5238,2025-10-15 04:01:31.792749+00,ARTERO USB RECHARGABLE NAIL GRINDER,$40.1 (Ex GST),AAURNG,https://pronto.eastdist.com/products/AAURNG,405534937562,90.64,5,,AAURNG,,AAURNG,55.48,90.35,90.35,90.64,2025-10-23,IN STOCK
5239,2025-10-15 04:01:31.792749+00,BANANA FEEDS AUSTRALIA B COMPLETE CANINE SUPPLEMENT 2.5KG,$50.4 (Ex GST),ABFABCC2.5,https://pronto.eastdist.com/products/ABFABCC2.5,405534823202,112.86,5,,ABFABCC2.5,,ABFABCC2.5,76.99,108.66,108.66,112.86,2025-10-23,IN STOCK
